# ----------------------------------------
# All Web Site Data
# New Statistics with Chuck
# 20190924-20190930
# ----------------------------------------

New Statistics with Chuck (Content Group),Pageviews
natural-disasters-schenectady-county,2
network-religious-communities,2
new-paltz-town-records,2
newburgh-free-library,2
niagara-county-community-college-henrietta-g-lewis-library,2
niagara-county-historical-society,2
nyack-library-local-history-collection,2
nyh_topic/arts-entertainment,2
nyh_topic/community-events?page=15,2
nyh_topic/community-events?page=41,2
nyh_topic/education/time_period/1890,2
nyh_topic/education/time_period/1890/time_period/1900,2
nyh_topic/environment-nature,2
nyh_topic/ethnic-groups?page=1,2
nyh_topic/geography-maps?page=5,2
nyh_topic/military-war?page=1,2
nyh_topic/military-war?page=10,2
nyh_topic/military-war?page=11,2
nyh_topic/military-war?page=12,2
nyh_topic/military-war?page=13,2
nyh_topic/military-war?page=14,2
nyh_topic/military-war?page=15,2
nyh_topic/military-war?page=16,2
nyh_topic/military-war?page=17,2
nyh_topic/military-war?page=2,2
nyh_topic/military-war?page=3,2
nyh_topic/military-war?page=4,2
nyh_topic/military-war?page=5,2
nyh_topic/military-war?page=6,2
nyh_topic/military-war?page=7,2
nyh_topic/military-war?page=8,2
nyh_topic/military-war?page=9,2
nyh_topic/transportation?page=1,2
nyh_topic/transportation?page=2,2
oceanside-high-school-yearbooks?fbclid=IwAR0lTPuJjXyJX0gWq1XbjQcn-1kM6HBEWrjjNAPT_g4Rw5W5aodAI-g-iCY,2
old-houses-north-country,2
orangetown,2
otsego-county-womans-christian-temperance-union-collection,2
p15281coll58,2
p16124coll7,2
p16694coll16,2
p16694coll22,2
p16694coll28,2
p16694coll41,2
p16694coll62,2
p16694coll77,2
palisades-ny-history-collection,2
personal-war-sketches-members-ellis-post-no-52-newburgh-ny,2
plain-talk,2
plainview-old-bethpage-public-library,2
platt-benson-oakley-photograph-collection,2
plattspub,2
provincial-exile-roelof-j-eltinges-banishment-paltz,2
quilt-patterns-onondaga-county-1919-1923,2
radical-abolitionist,2
reflections-yearbook-collection,2
reid-gallery-prominent-citizens-rome-new-york,2
rensselaer-county-historical-society-edgar-holloway-collection-watercolors-and-prints,2
rochester-regional-library-council,2
roosevelts-visit-syracuse,2
ruth-n-holroyd,2
safe-haven,2
sally-ploof-hunter-memorial-library-yearbooks,2
scarsdale-high-school-yearbooks,2
scarsdale-photographs-and-slides,2
schenectady-county-community-college,2
senate-house-collection,2
senate-house-historic-site,2
seneca-falls-historical-society,2
seneca-ray-stoddard-adirondack-stereoviews,2
siena-college-archives-historic-photographs-collection,2
smithtown-library,2
somers-historical-society,2
sports-and-recreation-schenectady-new-york,2
