"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Western New York Library Resources Council","WNYLRC030","Nioga Library System - Niagara Falls Public Library","p15004coll9",4214
"Western New York Library Resources Council","WNYLRC031","Sardinia Historical Society","BUF005",107
"Western New York Library Resources Council","WNYLRC032","SUNY Buffalo State - Butler Library","YBM002",19
"Western New York Library Resources Council","WNYLRC033","SUNY at Fredonia - Daniel A. Reed Library","XFM004",0
"Western New York Library Resources Council","WNYLRC034","University at Buffalo Libraries  - Digital Collections","p16694coll1",1108
"Western New York Library Resources Council","WNYLRC037","Western New York Genealogical Society","BUF006",179
"Western New York Library Resources Council","WNYLRC038","Western New York Library Resources Council","p16694coll24",392
"Western New York Library Resources Council","WNYLRC040","Theodore Roosevelt Inaugural Site Foundation","p16694coll2",46
"Western New York Library Resources Council","WNYLRC041","Niagara University - Castellani Art Museum","p16694coll2",46
"Western New York Library Resources Council","WNYLRC042","Forest Lawn Cemetery - Margaret L. Wendt Archive and Resource Center","p16694coll89",187
